19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,11,12,13,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,11,12,12,12,13,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,18,10,14,19,19,19,19
19,19,19,19,19,19,19,19,11,12,13,19,19,19,19,19
19,19,19,19,19,19,11,10,10,10,10,10,13,19,19,19
19,19,19,19,19,19,19,19,19,19,19,17,16,15,19,19
19,19,19,19,19,19,19,19,19,19,18,10,10,13,19,19
19,19,19,19,19,19,19,11,10,10,10,10,10,10,14,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,18,10,10,10
12,13,19,19,19,19,19,19,19,18,10,10,10,10,10,10
10,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,10
10,10,10,10,13,19,19,19,19,19,19,17,10,10,10,10
10,10,10,10,12,13,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,17,10,10,10,10,10,12,12,13,19,19,19,19,17,16
10,10,10,10,10,10,10,10,13,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,17,10,10,10,10,10,10,10,13,19,19,19
19,19,17,16,10,10,10,10,10,10,14,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,17,10,10,10,10,10,10,15,19
19,19,19,19,19,19,17,10,10,10,10,10,15,19,19,19
19,19,19,19,19,19,19,19,19,19,19,11,12,12,13,19
19,19,19,19,19,19,19,19,19,19,17,10,10,10,10,15
19,19,19,19,19,19,19,19,19,18,10,10,10,15,19,19
19,19,19,19,19,19,19,19,19,19,19,19,11,10,10,10
10,13,19,19,19,19,19,19,19,19,19,19,19,18,10,10
14,19,19,19,19,19,19,19,19,19,19,18,10,10,14,19
19,19,19,19,19,19,19,19,19,19,19,19,19,11,10,10
10,10,10,14,19,19,19,19,19,19,19,19,19,19,19,17
16,16,15,19,19,19,19,19,19,19,19,19,11,10,10,10
14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18
10,10,10,10,10,15,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,10
10,10,14,19,19,19,19,19,19,19,19,19,19,19,19,19
19,17,16,10,10,10,15,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
18,10,10,10,15,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,17,15,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,18,10,10,15,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,11,13
19,19,19,19,17,16,15,19,19,19,19,19,19,19,11,12
13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,11
10,10,13,19,19,19,19,19,19,19,19,19,19,19,19,11
10,10,14,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,11,12,12,13,19,19,19
11,10,10,10,14,19,19,19,19,19,19,19,19,19,19,11
12,10,10,10,14,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,11,12,12,10,10,10,14,19
19,11,10,10,10,10,14,19,19,19,19,19,19,19,19,11
12,10,10,10,10,10,14,19,19,19,11,12,13,19,19,19
19,19,19,19,19,19,19,19,19,19,17,10,10,10,10,10
10,12,12,10,10,10,10,10,14,19,19,19,19,19,11,12
12,10,10,10,10,10,10,10,15,19,19,19,18,10,10,13
19,19,19,19,19,19,19,19,19,19,19,19,19,17,10,10
10,10,10,10,10,10,10,10,10,10,14,19,19,19,19,11
10,10,10,10,10,10,10,10,10,14,19,19,19,19,18,10
